Date,Close
2021-07-13,310.95
2021-07-14,309.55
2021-07-15,310.25
2021-07-16,311.25
2021-07-19,308.85
2021-07-20,302.15
2021-07-22,302.55
2021-07-23,295.55
2021-07-26,293.15
2021-07-27,291.4
2021-07-28,284.45
2021-07-29,292.9
2021-07-30,293.95
2021-08-02,296.85
2021-08-03,303.7
2021-08-04,298.15
2021-08-05,299.7
2021-08-06,300.05
2021-08-09,298.1
2021-08-10,294.2
2021-08-11,295.45
2021-08-12,306.0
2021-08-13,307.25
2021-08-16,303.7
2021-08-17,297.7
2021-08-18,293.35
2021-08-20,283.1
2021-08-23,276.95
2021-08-24,279.8
2021-08-25,284.4
2021-08-26,284.3
2021-08-27,285.75
2021-08-30,291.95
2021-08-31,287.3
2021-09-01,295.25
2021-09-02,293.15
2021-09-03,295.55
2021-09-06,297.45
2021-09-07,294.6
2021-09-08,295.25
2021-09-09,298.95
2021-09-13,301.2
2021-09-14,306.1
2021-09-15,311.95
2021-09-16,311.65
2021-09-17,308.6
2021-09-20,298.95
2021-09-21,301.95
2021-09-22,310.1
2021-09-23,321.5
2021-09-24,317.95
2021-09-27,331.65
2021-09-28,329.3
2021-09-29,330.25
2021-09-30,333.35
2021-10-01,333.3
2021-10-04,342.0
2021-10-05,344.95
2021-10-06,336.05
2021-10-07,376.5
2021-10-08,382.95
2021-10-11,415.75
2021-10-12,420.85
2021-10-13,506.9
2021-10-14,497.6
2021-10-18,509.6
2021-10-19,481.9
2021-10-20,486.9
2021-10-21,508.0
2021-10-22,490.9
2021-10-25,479.9
2021-10-26,508.65
2021-10-27,497.9
2021-10-28,481.05
2021-10-29,483.7
2021-11-01,485.7
2021-11-02,487.85
2021-11-03,484.9
2021-11-04,489.7
2021-11-08,501.4
2021-11-09,509.65
2021-11-10,510.75
2021-11-11,503.45
2021-11-12,507.05
2021-11-15,505.45
2021-11-16,519.05
2021-11-17,530.15
2021-11-18,509.7
2021-11-22,486.1
2021-11-23,495.5
2021-11-24,488.65
2021-11-25,492.75
2021-11-26,460.2
2021-11-29,461.45
2021-11-30,458.6
2021-12-01,475.25
2021-12-02,479.1
2021-12-03,480.1
2021-12-06,467.2
2021-12-07,481.8
2021-12-08,493.9
2021-12-09,493.95
2021-12-10,494.45
2021-12-13,495.35
2021-12-14,489.4
2021-12-15,491.65
2021-12-16,491.95
2021-12-17,470.2
2021-12-20,447.05
2021-12-21,453.6
2021-12-22,470.5
2021-12-23,472.35
2021-12-24,467.6
2021-12-27,471.15
2021-12-28,480.2
2021-12-29,476.0
2021-12-30,470.4
2021-12-31,482.4
2022-01-03,497.6
2022-01-04,489.6
2022-01-05,489.75
2022-01-06,488.85
2022-01-07,490.6
2022-01-10,503.7
2022-01-11,501.3
2022-01-12,507.25
2022-01-13,511.95
2022-01-14,509.9
2022-01-17,525.0
2022-01-18,510.8
2022-01-19,520.85
2022-01-20,515.7
2022-01-21,501.85
2022-01-24,478.45
2022-01-25,490.55
2022-01-27,494.4
2022-01-28,497.3
2022-01-31,517.75
2022-02-01,504.3
2022-02-02,506.4
2022-02-03,504.5
2022-02-04,500.6
2022-02-07,494.6
2022-02-08,492.75
2022-02-09,501.25
2022-02-10,507.45
2022-02-11,498.85
2022-02-14,471.45
2022-02-15,504.0
2022-02-16,498.45
2022-02-17,499.95
2022-02-18,493.15
2022-02-21,494.45
2022-02-22,478.25
2022-02-23,477.0
2022-02-24,427.95
2022-02-25,459.75
2022-02-28,454.05
2022-03-02,447.6
2022-03-03,437.1
2022-03-04,417.25
2022-03-07,394.0
2022-03-08,391.75
2022-03-09,405.9
2022-03-10,419.6
2022-03-11,418.15
2022-03-14,411.7
2022-03-15,413.65
2022-03-16,424.9
2022-03-17,433.8
2022-03-21,427.95
2022-03-22,440.35
2022-03-23,435.8
2022-03-24,433.2
2022-03-25,432.1
2022-03-28,432.7
2022-03-29,433.7
2022-03-30,435.65
2022-03-31,433.75
2022-04-01,441.15
2022-04-04,446.75
2022-04-05,458.05
2022-04-06,456.15
2022-04-07,449.5
2022-04-08,452.05
2022-04-11,452.05
2022-04-12,438.3
2022-04-13,431.05
2022-04-18,433.8
2022-04-19,424.95
2022-04-20,440.55
2022-04-21,448.05
2022-04-22,438.85
2022-04-25,425.15
2022-04-26,434.9
2022-04-27,430.25
2022-04-28,436.05
2022-04-29,437.6
2022-05-02,432.85
2022-05-04,423.5
2022-05-05,426.3
2022-05-06,408.55
2022-05-09,403.95
2022-05-10,391.75
2022-05-11,388.15
2022-05-12,372.3
2022-05-13,404.3
2022-05-16,405.35
2022-05-17,424.15
2022-05-18,415.15
2022-05-19,398.65
2022-05-20,418.0
2022-05-23,421.45
2022-05-24,425.75
2022-05-25,417.0
2022-05-26,420.65
2022-05-27,429.6
2022-05-30,442.4
2022-05-31,443.55
2022-06-01,444.6
2022-06-02,439.15
2022-06-03,431.9
2022-06-06,432.35
2022-06-07,435.85
2022-06-08,435.65
2022-06-09,428.5
2022-06-10,428.05
2022-06-13,406.7
2022-06-14,405.15
2022-06-15,414.1
2022-06-16,392.95
2022-06-17,388.95
2022-06-20,382.7
2022-06-21,397.6
2022-06-22,393.1
2022-06-23,407.2
2022-06-24,409.3
2022-06-27,414.5
2022-06-28,417.1
2022-06-29,416.95
2022-06-30,411.8
2022-07-01,412.7
2022-07-04,408.45
2022-07-05,412.0
2022-07-06,416.35
2022-07-07,430.85
2022-07-08,441.55
2022-07-11,437.05
2022-07-12,430.55
2022-07-13,427.1
2022-07-14,428.05
2022-07-15,440.2
2022-07-18,450.9
2022-07-19,449.05
2022-07-20,453.45
2022-07-21,454.85
2022-07-22,454.9
2022-07-25,449.55
2022-07-26,441.15
2022-07-27,444.05
2022-07-28,442.25
2022-07-29,449.6
2022-08-01,479.2
2022-08-02,476.25
2022-08-03,467.8
2022-08-04,468.9
2022-08-05,465.25
2022-08-08,468.25
2022-08-10,475.55
2022-08-11,476.65
2022-08-12,477.55
2022-08-16,489.85
2022-08-17,485.4
2022-08-18,484.8
2022-08-19,471.0
2022-08-22,454.6
2022-08-23,460.45
2022-08-24,463.2
2022-08-25,459.2
2022-08-26,465.05
2022-08-29,453.35
2022-08-30,471.1
2022-09-01,466.9
2022-09-02,461.75
2022-09-05,459.0
2022-09-06,457.75
2022-09-07,445.85
2022-09-08,442.2
2022-09-09,445.9
2022-09-12,451.0
2022-09-13,456.8
2022-09-14,450.2
2022-09-15,447.25
2022-09-16,432.5
2022-09-19,425.45
2022-09-20,434.25
2022-09-21,427.65
2022-09-22,432.2
2022-09-23,423.1
2022-09-26,397.5
2022-09-27,398.8
2022-09-28,399.1
2022-09-29,402.25
2022-09-30,404.6
2022-10-03,397.65
2022-10-04,407.9
